Date,HRC=F,BZ=F,EURUSD=X,USDCZK=X,EURCZK=X,CNYUSD=X,HG=F
2025-06-03,870.0,65.62999725341797,1.1453442573547363,21.691299438476562,24.85059928894043,0.13881754875183105,4.809500217437744
2025-06-04,872.0,64.86000061035156,1.1384464502334595,21.832500457763672,24.864500045776367,0.13881754875183105,4.864500045776367
2025-06-05,878.0,65.33999633789062,1.1422044038772583,21.708999633789062,24.793800354003906,0.13881754875183105,4.91349983215332
2025-06-06,878.0,66.47000122070312,1.1453834772109985,21.639999389648438,24.78339958190918,0.1393728256225586,4.829999923706055
2025-06-09,881.0,67.04000091552734,1.1407841444015503,21.701000213623047,24.75279998779297,0.13910914957523346,4.9095001220703125
2025-06-10,883.0,66.87000274658203,1.1428048610687256,21.67099952697754,24.763200759887695,0.13927188515663147,4.883999824523926
2025-06-11,862.0,69.7699966430664,1.143746018409729,21.637800216674805,24.75909996032715,0.13927188515663147,4.801000118255615
2025-06-12,862.0,69.36000061035156,1.1509333848953247,21.501800537109375,24.745399475097656,0.1390279233455658,4.821499824523926
2025-06-13,862.0,74.2300033569336,1.1600254774093628,21.347999572753906,24.768999099731445,0.1390279233455658,4.802999973297119
2025-06-16,864.0,73.2300033569336,1.1556684970855713,21.475900650024414,24.75819969177246,0.13925637304782867,4.826499938964844
2025-06-17,864.0,76.44999694824219,1.1551345586776733,21.469100952148438,24.80430030822754,0.13929517567157745,4.80049991607666
2025-06-18,870.0,76.69999694824219,1.1482638120651245,21.594999313354492,24.794300079345703,0.13918852806091309,4.84499979019165
2025-06-19,,,1.1477497816085815,21.591800689697266,24.780799865722656,0.13910527527332306,
2025-06-20,872.0,77.01000213623047,1.1512778997421265,21.518199920654297,24.768999099731445,0.13912075757980347,4.826000213623047
2025-06-23,872.0,71.4800033569336,1.1500862836837769,21.55069923400879,24.792699813842773,0.13912075757980347,4.8429999351501465
2025-06-24,872.0,67.13999938964844,1.1599044799804688,21.390499114990234,24.80699920654297,0.13929517567157745,4.867000102996826
2025-06-25,889.0,67.68000030517578,1.161224365234375,21.309900283813477,24.753700256347656,0.1394447386264801,4.913000106811523
2025-06-26,885.0,67.7300033569336,1.1683744192123413,21.162599563598633,24.73710060119629,0.13934563100337982,5.065499782562256
2025-06-27,883.0,67.7699966430664,1.1692214012145996,21.14299964904785,24.71809959411621,0.13951866328716278,5.06850004196167
2025-06-30,880.0,67.61000061035156,1.1727453470230103,21.09000015258789,24.73080062866211,0.13942918181419373,5.03000020980835
2025-07-01,883.0,67.11000061035156,1.178717017173767,20.960800170898438,24.71310043334961,0.13959461450576782,5.047999858856201
2025-07-02,885.0,69.11000061035156,1.180553913116455,20.8927001953125,24.670000076293945,0.13957707583904266,5.14900016784668
2025-07-03,885.0,68.80000305175781,1.18002450466156,20.884000778198242,24.642099380493164,0.13956929743289948,5.0970001220703125
2025-07-04,,68.29000091552734,1.1771491765975952,20.910999298095703,24.612199783325195,0.13956929743289948,5.018499851226807
2025-07-07,879.0,69.58000183105469,1.178078293800354,20.892200469970703,24.61840057373047,0.13956929743289948,4.984499931335449
2025-07-08,890.0,70.1500015258789,1.1736538410186768,20.971099853515625,24.620899200439453,0.13938447833061218,5.644999980926514
2025-07-09,882.0,70.19000244140625,1.1724566221237183,21.0,24.61910057067871,0.13939613103866577,5.44350004196167
2025-07-10,882.0,68.63999938964844,1.17311692237854,20.996000289916992,24.629100799560547,0.13927577435970306,5.547999858856201
2025-07-11,877.0,70.36000061035156,1.1702749729156494,21.029199600219727,24.617900848388672,0.1393767148256302,5.561999797821045
2025-07-14,881.0,69.20999908447266,1.1682106256484985,21.08930015563965,24.645700454711914,0.1395069807767868,5.514999866485596
2025-07-15,881.0,68.70999908447266,1.1666297912597656,21.131999969482422,24.651500701904297,0.13952839374542236,5.546000003814697
2025-07-16,873.0,68.5199966430664,1.1607391834259033,21.236000061035156,24.6471004486084,0.13941362500190735,5.496500015258789
2025-07-17,875.0,69.5199966430664,1.1635754108428955,21.16200065612793,24.622400283813477,0.13930486142635345,5.486000061035156
2025-07-18,875.0,69.27999877929688,1.161548137664795,21.187299728393555,24.614999771118164,0.13921372592449188,5.578000068664551
2025-07-21,874.0,69.20999908447266,1.1630746126174927,21.156400680541992,24.61370086669922,0.13932038843631744,5.610499858856201
2025-07-22,874.0,68.58999633789062,1.1694538593292236,21.03219985961914,24.606300354003906,0.1393631100654602,5.697000026702881
2025-07-23,876.0,68.51000213623047,1.1739156246185303,20.949899673461914,24.6023006439209,0.13938641548156738,5.795000076293945
2025-07-24,872.0,69.18000030517578,1.1774264574050903,20.864999771118164,24.564599990844727,0.13967455923557281,5.7769999504089355
2025-07-25,871.0,68.44000244140625,1.1756131649017334,20.85759925842285,24.529199600219727,0.13979171216487885,5.763500213623047
2025-07-28,873.0,70.04000091552734,1.1756821870803833,20.867000579833984,24.540700912475586,0.13979171216487885,5.59499979019165
2025-07-29,875.0,72.51000213623047,1.1596757173538208,21.195999145507812,24.57819938659668,0.13931845128536224,5.603499889373779
2025-07-30,860.0,73.23999786376953,1.1550945043563843,21.27400016784668,24.571300506591797,0.13934563100337982,5.570000171661377
2025-07-31,842.0,72.52999877929688,1.1429355144500732,21.485000610351562,24.558799743652344,0.13934563100337982,4.33050012588501
2025-08-01,847.0,69.66999816894531,1.142374038696289,21.5,24.55929946899414,0.138885036110878,4.412499904632568
2025-08-04,855.0,68.76000213623047,1.158668041229248,21.181699752807617,24.549400329589844,0.13866548240184784,4.414999961853027
2025-08-05,850.0,67.63999938964844,1.1584129333496094,21.211000442504883,24.5674991607666,0.13931457698345184,4.363999843597412
2025-08-06,843.0,66.88999938964844,1.1579166650772095,21.226999282836914,24.57659912109375,0.1392098367214203,4.390999794006348
2025-08-07,838.0,66.43000030517578,1.1663167476654053,21.050899505615234,24.549999237060547,0.13922147452831268,4.378499984741211
2025-08-08,835.0,66.58999633789062,1.1676650047302246,20.925500869750977,24.42799949645996,0.13925637304782867,4.45550012588501
2025-08-11,835.0,66.62999725341797,1.1647952795028687,20.96190071105957,24.42530059814453,0.13925637304782867,4.423500061035156
2025-08-12,834.0,66.12000274658203,1.1618449687957764,21.045000076293945,24.447099685668945,0.13912656903266907,4.508500099182129
2025-08-13,833.0,65.62999725341797,1.1677058935165405,20.93899917602539,24.449399948120117,0.13930486142635345,4.48199987411499
2025-08-14,831.0,66.83999633789062,1.171289324760437,20.858299255371094,24.440799713134766,0.13938641548156738,4.4644999504089355
2025-08-15,832.0,65.8499984741211,1.1651345491409302,21.010000228881836,24.476699829101562,0.13928546011447906,4.478000164031982
2025-08-18,832.0,66.5999984741211,1.1706587076187134,20.87660026550293,24.458599090576172,0.13924279808998108,4.456999778747559
2025-08-19,832.0,65.79000091552734,1.1668338775634766,20.952600479125977,24.44569969177246,0.13918659090995789,4.408999919891357
2025-08-20,834.0,66.83999633789062,1.164252758026123,20.997299194335938,24.43869972229004,0.13923892378807068,4.426000118255615
2025-08-21,831.0,67.66999816894531,1.165175199508667,21.000999450683594,24.465099334716797,0.1393592208623886,4.43149995803833
2025-08-22,832.0,67.7300033569336,1.16130530834198,21.15290069580078,24.564300537109375,0.13927769660949707,4.447500228881836
2025-08-25,832.0,68.80000305175781,1.1709601879119873,20.949800491333008,24.538700103759766,0.13951866328716278,4.4664998054504395
2025-08-26,831.0,67.22000122070312,1.1618449687957764,21.12809944152832,24.536100387573242,0.13984058797359467,4.450500011444092
2025-08-27,813.0,68.05000305175781,1.1639411449432373,21.046100616455078,24.5044002532959,0.13982102274894714,4.4145002365112305
